sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
207,20.700,0.711339772,0.129063219,-0.019066794,0.321874410,0.842994034,0.250509977,0.485914171
208,20.800,0.710756063,0.129116848,-0.020919327,0.318312109,0.842994034,0.245405182,0.485589415
209,20.900,0.710386336,0.129971191,-0.021335542,0.316888332,0.842994034,0.241665751,0.485446662
210,21.000,0.710137546,0.130554780,-0.021089470,0.316266865,0.842876554,0.239296630,0.485292763
211,21.100,0.710176766,0.131697044,-0.020384518,0.312458783,0.839970648,0.235150218,0.485728472
212,21.200,0.710277557,0.133098304,-0.019690143,0.309342235,0.833281040,0.229993045,0.486441851
213,21.300,0.710319281,0.133855447,-0.019402657,0.305344641,0.828787744,0.224387929,0.486737221
214,21.400,0.710336626,0.134299263,-0.019283481,0.303340554,0.826872766,0.220556974,0.486859679
215,21.500,0.710343897,0.135243684,-0.019233834,0.302423000,0.826088130,0.217561856,0.486910671
216,21.600,0.710214734,0.136507571,-0.019213229,0.301430970,0.825766444,0.215856925,0.486931860
217,21.700,0.710293114,0.137311742,-0.019204700,0.300707579,0.825634301,0.214040101,0.486940622
218,21.800,0.710328221,0.137669653,-0.019200886,0.300386220,0.825575471,0.212237358,0.486944526
219,21.900,0.710340381,0.137793243,-0.019199565,0.300275326,0.825555146,0.211436942,0.486945897
220,22.000,0.710345447,0.137844592,-0.019093839,0.300229311,0.825546741,0.209457368,0.486946464
221,22.100,0.709782600,0.137865886,-0.018401425,0.300210208,0.825543225,0.207754806,0.486946702
222,22.200,0.710113406,0.137874722,-0.017931230,0.300202280,0.825541735,0.206695393,0.486946791
223,22.300,0.710087478,0.136851534,-0.017649924,0.301141381,0.825541139,0.205904782,0.486946821
224,22.400,0.710241318,0.135336801,-0.017534159,0.302107424,0.825540900,0.203953266,0.486946851
225,22.500,0.710304499,0.132901356,-0.016918838,0.303218693,0.825540781,0.202725276,0.487877369
226,22.600,0.710822999,0.130344152,-0.016207892,0.305264443,0.825540781,0.201540723,0.488355666
227,22.700,0.711566687,0.127675951,-0.015915414,0.307010889,0.826245844,0.200873584,0.488552481
228,22.800,0.712640464,0.124394909,-0.015784893,0.309505969,0.827083588,0.199448034,0.489664316
229,22.900,0.713695347,0.117912084,-0.015739733,0.311852455,0.830605030,0.198759377,0.490118742
230,23.000,0.716688931,0.112255745,-0.014776797,0.314074486,0.833996296,0.198253870,0.490306646
231,23.100,0.721040547,0.104152001,-0.014296100,0.315159321,0.837724447,0.197644368,0.490383863
232,23.200,0.726990461,0.096706890,-0.010640627,0.315598518,0.839810848,0.197396144,0.490415394
233,23.300,0.735986531,0.087520495,0.001157189,0.315778583,0.840659857,0.197293967,0.490428388
234,23.400,0.744972289,0.080661759,0.013000857,0.315852851,0.841007829,0.197251707,0.490433753
235,23.500,0.752507091,0.071013525,0.019350022,0.315883368,0.842096567,0.197234333,0.490435988
236,23.600,0.757768214,0.062036831,0.025359234,0.315895796,0.842785537,0.197227240,0.490436882
237,23.700,0.761462212,0.051197659,0.037896924,0.315900952,0.843654454,0.197224289,0.490437269
238,23.800,0.763235331,0.041829195,0.045538645,0.315903097,0.843812466,0.197223067,0.490437418
239,23.900,0.763958573,0.031801373,0.048586980,0.315903991,0.843515217,0.197222561,0.490437478
240,24.000,0.764250100,0.024419077,0.049789764,0.315904349,0.844327211,0.197564930,0.490437508
241,24.100,0.764904022,0.015181597,0.050276756,0.315904498,0.852323413,0.199138090,0.490437508
242,24.200,0.768585861,0.008937801,0.050660744,0.315904558,0.863189340,0.201096654,0.491265178
243,24.300,0.770393729,0.002266922,0.052458122,0.315904588,0.869198561,0.203203246,0.491698474
244,24.400,0.771010101,-0.004678155,0.066601731,0.315904588,0.870514214,0.206369683,0.491984069
245,24.500,0.771260977,-0.012718317,0.077919319,0.315904588,0.871609330,0.209136814,0.492101014
246,24.600,0.771363974,-0.017572660,0.083372429,0.316400945,0.872234702,0.209698752,0.492149264
247,24.700,0.771406174,-0.022325153,0.091501430,0.323823065,0.872488797,0.209909946,0.492353141
248,24.800,0.771423340,-0.026466686,0.110570163,0.333971679,0.872591913,0.210442290,0.493275821
249,24.900,0.771430492,-0.032753091,0.121747687,0.339746445,0.872634470,0.210877493,0.493657917
250,25.000,0.771433473,-0.039978538,0.128171071,0.346202224,0.872652173,0.211057633,0.493816257
251,25.100,0.771434665,-0.046019986,0.135611132,0.351016581,0.872659445,0.210015431,0.493881643
252,25.200,0.771435201,-0.053359583,0.139050275,0.356886148,0.872662485,0.204625502,0.493908852
