sample_index,time_from_start_s,Right_Shoulder_Pitch_Joint,Right_Shoulder_Roll_Joint,Right_Shoulder_Yaw_Joint,Right_Elbow_Pitch_Joint,Right_Wrist_Yaw_Joint,Right_Wrist_Roll_Joint,Right_Wrist_Pitch_Joint
181,18.100000,0.696386397,-0.052216968,0.032716594,0.513429732,0.937239617,0.070145316,0.422368311
182,18.200000,0.696386397,-0.052197867,0.032609615,0.513464641,0.937239676,0.070136223,0.422368349
183,18.300000,0.696386397,-0.052178766,0.032502635,0.513499550,0.937239735,0.070127129,0.422368387
184,18.400000,0.696386397,-0.052159666,0.032395655,0.513534459,0.937239794,0.070118036,0.422368425
185,18.500000,0.696386397,-0.052140565,0.032288676,0.513569367,0.937239853,0.070108943,0.422368463
186,18.600000,0.696386397,-0.052121464,0.032181696,0.513604276,0.937239912,0.070099850,0.422368501
187,18.700000,0.696386397,-0.052102364,0.032074717,0.513639185,0.937239971,0.070090757,0.422368539
188,18.800000,0.696386397,-0.052083263,0.031967737,0.513674093,0.937240030,0.070081663,0.422368577
189,18.900000,0.696386397,-0.052064163,0.031860758,0.513709002,0.937240090,0.070072570,0.422368615
190,19.000000,0.696386397,-0.052045062,0.031753778,0.513743911,0.937240149,0.070063477,0.422368653
191,19.100000,0.696386397,-0.052025961,0.031646799,0.513778820,0.937240208,0.070054384,0.422368691
192,19.200000,0.696386397,-0.052006861,0.031539819,0.513813728,0.937240267,0.070045291,0.422368729
193,19.300000,0.696386397,-0.051987760,0.031432840,0.513848637,0.937240326,0.070036198,0.422368767
194,19.400000,0.696386397,-0.051968659,0.031325860,0.513883546,0.937240385,0.070027104,0.422368805
195,19.500000,0.696386397,-0.051949559,0.031218881,0.513918455,0.937240444,0.070018011,0.422368843
196,19.600000,0.696386397,-0.051930458,0.031111901,0.513953363,0.937240503,0.070008918,0.422368881
197,19.700000,0.696386397,-0.051911357,0.031004921,0.513988272,0.937240562,0.069999825,0.422368919
198,19.800000,0.696386397,-0.051887354,0.030901227,0.514042584,0.937240610,0.069996881,0.422370975
199,19.900000,0.696386397,-0.051854172,0.030803683,0.514133213,0.937240635,0.070005447,0.422376806
200,20.000000,0.696386397,-0.051820990,0.030706138,0.514223842,0.937240660,0.070014014,0.422382638
201,20.100000,0.696386397,-0.051787809,0.030608594,0.514314472,0.937240686,0.070022580,0.422388469
202,20.200000,0.696386397,-0.051754627,0.030511049,0.514405101,0.937240711,0.070031147,0.422394301
203,20.300000,0.696386397,-0.051721446,0.030413505,0.514495730,0.937240736,0.070039713,0.422400132
204,20.400000,0.696386397,-0.051688264,0.030315960,0.514586360,0.937240762,0.070048280,0.422405964
205,20.500000,0.696386397,-0.051655083,0.030218415,0.514676989,0.937240787,0.070056846,0.422411795
206,20.600000,0.696386397,-0.051621901,0.030120871,0.514767618,0.937240812,0.070065413,0.422417627
207,20.700000,0.696386397,-0.051588719,0.030023326,0.514858248,0.937240838,0.070073979,0.422423458
208,20.800000,0.696386397,-0.051555538,0.029925782,0.514948877,0.937240863,0.070082546,0.422429290
209,20.900000,0.696386397,-0.051522356,0.029828237,0.515039506,0.937240888,0.070091112,0.422435121
210,21.000000,0.696386397,-0.051489175,0.029730693,0.515130136,0.937240914,0.070099679,0.422440953
211,21.100000,0.696386397,-0.051455993,0.029633148,0.515220765,0.937240939,0.070108245,0.422446784
212,21.200000,0.696386397,-0.051422812,0.029535604,0.515311394,0.937240964,0.070116812,0.422452616
213,21.300000,0.696386397,-0.051389630,0.029438059,0.515402024,0.937240990,0.070125378,0.422458447
214,21.400000,0.696386397,-0.051356448,0.029340514,0.515492653,0.937241015,0.070133945,0.422464279
215,21.500000,0.696386397,-0.051323267,0.029242970,0.515583282,0.937241040,0.070142511,0.422470110
216,21.600000,0.696386397,-0.051290085,0.029145425,0.515673912,0.937241066,0.070151078,0.422475942
217,21.700000,0.696386397,-0.051256904,0.029047881,0.515764541,0.937241091,0.070159644,0.422481773
218,21.800000,0.696386397,-0.051223722,0.028950336,0.515855170,0.937241116,0.070168211,0.422487605
219,21.900000,0.696386397,-0.051190540,0.028852792,0.515945800,0.937241142,0.070176777,0.422493436
220,22.000000,0.696386397,-0.051157359,0.028755247,0.516036429,0.937241167,0.070185344,0.422499268
221,22.100000,0.696386397,-0.051124177,0.028657703,0.516127058,0.937241192,0.070193910,0.422505099
222,22.200000,0.696386397,-0.051090996,0.028560158,0.516217688,0.937241218,0.070202477,0.422510931
223,22.300000,0.696386397,-0.051057814,0.028462613,0.516308317,0.937241243,0.070211043,0.422516762
224,22.400000,0.696386397,-0.051024633,0.028365069,0.516398946,0.937241268,0.070219610,0.422522594
225,22.500000,0.696386397,-0.050991451,0.028267524,0.516489576,0.937241294,0.070228176,0.422528425
226,22.600000,0.696386397,-0.050951462,0.028166629,0.516575603,0.937241317,0.070248050,0.422537287
227,22.700000,0.696386397,-0.050857631,0.028039228,0.516625231,0.937241328,0.070357354,0.422570119
228,22.800000,0.696386397,-0.050763800,0.027911827,0.516674859,0.937241338,0.070466658,0.422602950
229,22.900000,0.696386397,-0.050669970,0.027784426,0.516724488,0.937241349,0.070575962,0.422635782
230,23.000000,0.696386397,-0.050576139,0.027657025,0.516774116,0.937241359,0.070685265,0.422668614
231,23.100000,0.696386397,-0.050482308,0.027529624,0.516823745,0.937241370,0.070794569,0.422701445
232,23.200000,0.696386397,-0.050388477,0.027402223,0.516873373,0.937241381,0.070903873,0.422734277
233,23.300000,0.696386397,-0.050294647,0.027274822,0.516923001,0.937241391,0.071013177,0.422767108
234,23.400000,0.696386397,-0.050200816,0.027147421,0.516972630,0.937241402,0.071122481,0.422799940
235,23.500000,0.696386397,-0.050106985,0.027020020,0.517022258,0.937241412,0.071231784,0.422832771
236,23.600000,0.696386397,-0.050013155,0.026892619,0.517071886,0.937241423,0.071341088,0.422865603
237,23.700000,0.696386397,-0.049919324,0.026765219,0.517121515,0.937241433,0.071450392,0.422898434
238,23.800000,0.696386397,-0.049825493,0.026637818,0.517171143,0.937241444,0.071559696,0.422931266
239,23.900000,0.696386397,-0.049731662,0.026510417,0.517220771,0.937241454,0.071669000,0.422964098
240,24.000000,0.696386397,-0.049637832,0.026383016,0.517270400,0.937241465,0.071778303,0.422996929
241,24.100000,0.696386397,-0.049544001,0.026255615,0.517320028,0.937241475,0.071887607,0.423029761
242,24.200000,0.696386397,-0.049450170,0.026128214,0.517369657,0.937241486,0.071996911,0.423062592
243,24.300000,0.696386397,-0.049356340,0.026000813,0.517419285,0.937241497,0.072106215,0.423095424
244,24.400000,0.696386397,-0.049262509,0.025873412,0.517468913,0.937241507,0.072215519,0.423128255
245,24.500000,0.696386397,-0.049168678,0.025746011,0.517518542,0.937241518,0.072324823,0.423161087
246,24.600000,0.696386397,-0.049074848,0.025618610,0.517568170,0.937241528,0.072434126,0.423193919
247,24.700000,0.696386397,-0.048981017,0.025491210,0.517617798,0.937241539,0.072543430,0.423226750
248,24.800000,0.696386397,-0.048887186,0.025363809,0.517667427,0.937241549,0.072652734,0.423259582
249,24.900000,0.696386397,-0.048793355,0.025236408,0.517717055,0.937241560,0.072762038,0.423292413
250,25.000000,0.696386397,-0.048699525,0.025109007,0.517766683,0.937241570,0.072871342,0.423325245
251,25.100000,0.696386397,-0.048605694,0.024981606,0.517816312,0.937241581,0.072980645,0.423358076
252,25.200000,0.696386397,-0.048511863,0.024854205,0.517865940,0.937241592,0.073089949,0.423390908
253,25.300000,0.696386397,-0.048418033,0.024726804,0.517915569,0.937241602,0.073199253,0.423423739
254,25.400000,0.696386397,-0.048324202,0.024599403,0.517965197,0.937241613,0.073308557,0.423456571
